URL,学類名,学群名
https://scs.tsukuba.ac.jp/,総合学域群,総合学域群
https://www.jinbun.tsukuba.ac.jp/,人文学類,人文・文化学群
http://www.hibun.tsukuba.ac.jp/,比較文化学類,人文・文化学群
http://www.japanese.tsukuba.ac.jp/,日本語・日本文化学類,人文・文化学群
https://shakai.tsukuba.ac.jp/,社会学類,社会・国際学群
https://www.kokusai.tsukuba.ac.jp/,国際総合学類,社会・国際学群
https://www.education.tsukuba.ac.jp/,教育学類,人間学群
https://www.human.tsukuba.ac.jp/psyche/college/,心理学類,人間学群
https://www2.human.tsukuba.ac.jp/ids/shougai,障害科学類,人間学群
https://cbs.biol.tsukuba.ac.jp/,生物学類,生命環境学群
https://www.bres.tsukuba.ac.jp/,生物資源学類,生命環境学群
https://www.earth.tsukuba.ac.jp/,地球学類,生命環境学群
https://nc.math.tsukuba.ac.jp/,数学類,理工学群
https://www.butsuri.tsukuba.ac.jp/,物理学類,理工学群
https://chemistry.tsukuba.ac.jp/,化学類,理工学群
https://www.oyoriko.tsukuba.ac.jp/,応用理工学類,理工学群
https://www.esys.tsukuba.ac.jp/,工学システム学類,理工学群
https://www.sk.tsukuba.ac.jp/College/index_oc.html,社会工学類,理工学群
https://www.ide.tsukuba.ac.jp/,総合理工学位プログラム,理工学群
https://www.coins.tsukuba.ac.jp/,情報科学類,情報学類
https://www.mast.tsukuba.ac.jp/,情報メディア創成学類,情報学類
https://klis.tsukuba.ac.jp/,知識情報・図書館学類,情報学類
https://igaku.md.tsukuba.ac.jp/,医学類,医学群
https://www.md.tsukuba.ac.jp/nurse/,看護学類,医学群
https://www.md.tsukuba.ac.jp/med-sciences/,医療科学類,医学群
